agegroup,Date,Sex,Active_Cases,Active_numbers,Active_Numbers_Female,Active_Numbers_Male,Cases,Cases_Female,Cases_Male,Daily_Recovered,Number of Records,Zero
0-9,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
30-39,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
50-59,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,25/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,25/01/2020,Male,1,1,0,1,1,0,1,,1,0
60-69,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
70-79,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,25/01/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,25/01/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
30-39,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
50-59,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,26/01/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,26/01/2020,Male,1,1,0,1,,0,,,1,0
60-69,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
70-79,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,26/01/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,26/01/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,26/01/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,26/01/2020,Other,0,0,0,0,0,0,0,0,1,0
